omega,floor
2,5.7680770733479205e-05
4,0.0002637435607057649
8,0.0010675440042730848
12,0.0006228167089152849
15,2.9753351958221822e-05
20,1.4244045610061529
30,0.009246445714345184
50,1.5020499337837172
