time,dH_RK4,dH_Boris,dH_SPPINN
7.5,6.396049194308166e-07,0.001532522827564306,6.246922198164237e-05
15.0,8.321591948390739e-07,0.005097054680067658,6.564995626210579e-05
22.5,1.093358675401791e-06,0.017812943841465142,7.05624962115305e-06
30.0,1.0521425180213267e-06,0.006333442138908036,5.039002355251077e-05
37.5,1.2372276012057194e-06,0.005133770956298398,7.107283784828344e-06
45.0,1.4421547293567543e-06,0.014472521280391197,3.321208635331505e-05
52.5,1.5120284113309152e-06,0.010093194731105362,6.863216066687103e-05
60.0,1.668505604637934e-06,0.002511911789026019,1.555148888906105e-06
67.5,1.8368401146607187e-06,0.011605678063162556,7.303366936818777e-05
75.0,1.9631218577498913e-06,0.008580113144559068,0.00015957913952391371
82.5,2.1221205406896317e-06,0.001746980687713955,8.59650604799085e-05
90.0,2.2868255508411016e-06,0.008785091473486363,4.0743969629074494e-05
97.5,2.3155403661930115e-06,0.009091528949723064,7.658859221728596e-05
105.0,2.5652699487947647e-06,0.005629141489512348,5.1943894026357374e-05
112.5,2.731038534364725e-06,0.004647720896258472,5.3912358019400484e-05
120.0,2.9137690202122205e-06,0.015336282542485615,0.00013823413862955536
127.5,3.0109083688519365e-06,0.007757201128380214,7.321070633674486e-05
135.0,3.1845008296781076e-06,0.0005480707864336434,3.203414768053743e-05
142.5,3.3409673979244925e-06,0.012653714839425545,5.549789786095105e-05
150.0,3.4314471388000133e-06,0.011360722254221503,3.6029016066470816e-05
157.5,3.6088656195103058e-06,0.00016727225529900987,3.305531808072788e-05
165.0,3.7956889429770566e-06,0.00812086100615497,8.282330559749493e-05
172.5,3.914516624801957e-06,0.0025072746226967833,2.185245380977715e-05
180.0,4.012948541871712e-06,0.0020688590937679436,4.579512917696419e-05
187.5,4.206414242761216e-06,0.005235694005261162,8.106501967601368e-05
195.0,4.022368894557354e-06,0.01750995395702969,0.00029901475895052597
202.5,4.448508124093503e-06,0.00686496374762665,3.303698471678486e-05
210.0,4.611657493899257e-06,0.00528276945752605,7.106011870843049e-06
217.5,4.830032554272967e-06,0.01366754658015526,0.00011864649261881831
225.0,4.8998234067107e-06,0.01011823346449846,9.68158409180478e-05
232.5,5.065283105576539e-06,0.0016722195021660674,2.2236684295138117e-05
240.0,5.2222942893786406e-06,0.011657146768874544,2.4659259755329505e-05
247.5,5.351388673883864e-06,0.006085919661332385,7.499062670214931e-05
255.0,5.508406072492985e-06,0.002495789708219694,5.3320583082296846e-05
262.5,5.679175158756545e-06,0.008008602467938766,0.00011489328222895697
270.0,5.605701927013056e-06,0.01203497781620321,0.00020727183099907237
277.5,5.963401151322812e-06,0.0061116598148786856,5.7271349633311636e-05
285.0,6.118271043357974e-06,0.00384753158831626,1.231418073872146e-05
292.5,6.336986520358084e-06,0.01547641610862264,0.0002374878674139605
300.0,6.383078380120246e-06,0.008365032631447299,7.791828941057766e-05
307.5,6.572061122755063e-06,0.0002239777686256807,7.48223022070635e-05
315.0,6.744462216352242e-06,0.012210484009731333,7.751782414023801e-05
322.5,6.792458930585357e-06,0.01185051317841765,0.0001723408759691852
330.0,6.981861441638045e-06,0.00019590085641212198,9.902323808235196e-05
337.5,7.174094908384194e-06,0.007407436790855896,0.00013416620505190313
345.0,7.25767474561221e-06,0.00492379673906451,7.860796491513762e-05
352.5,7.387592597732827e-06,0.0027716705285347463,1.5048151137426337e-07
360.0,7.577816991363598e-06,0.005625418360752471,3.065070319090103e-05
367.5,7.537509179015467e-06,0.016898389072305488,0.0002479346402190775
375.0,7.844347892265656e-06,0.007300550931086727,1.3507995772441676e-05
382.5,7.998320585094606e-06,0.004980738191393521,4.680286043226431e-05
390.0,8.172819515769296e-06,0.013151733028339685,0.00020778731042036058
397.5,8.28673284633372e-06,0.00991730055418209,1.8222800920761064e-05
405.0,8.4564567562662e-06,0.0008640149222427496,3.8528293018301864e-05
412.5,8.619109621729317e-06,0.011186136743016849,2.255031285594872e-05
420.0,8.749168331349453e-06,0.0029438505866171264,3.8559022941120826e-05
427.5,8.895959880414333e-06,0.0032551968690740347,3.0213567729645038e-05
435.0,9.065483118389705e-06,0.007246010248675835,7.950162730529484e-06
442.5,9.182764650161061e-06,0.014333163425410684,4.476708395561596e-05
450.0,9.348860030989022e-06,0.006117527072129344,6.312419597329278e-05
457.5,9.514395378231874e-06,0.003018445299947686,7.344757715481579e-05
465.0,9.475528289619905e-06,0.015416343128679523,6.894111146394052e-05
472.5,9.756349159201207e-06,0.009219258059083803,4.72326582406654e-05
480.0,9.948806610620912e-06,0.0003609648448898687,8.105569676626903e-05
487.5,1.017627544486166e-05,0.011660111599811233,0.00010374394971362286
495.0,1.0165376760289432e-05,0.01199745212928019,2.8718701078432848e-05
502.5,1.0353709786245318e-05,0.00030906974828885783,5.540191207100288e-05
510.0,1.0550559939890218e-05,0.006878082832311931,2.2429554055976587e-06
517.5,1.062723006560926e-05,0.00727676931434835,0.00017188282045727023
525.0,1.0777964543935205e-05,0.003540163305495546,3.5831708517663637e-05
