t,dE_Boris,dE_RK4,dE_SPPINN
30.010000000000005,0.0002557378131096463,1.2903638789462238e-08,8.122057415226927e-06
30.210000000000008,0.00023665633175365622,1.1714600269473579e-08,8.007984334878294e-06
30.409999999999997,0.00021893483213488156,1.0592868421318045e-08,7.904313430227286e-06
30.61,0.00020240386269746423,9.528569721069834e-09,7.810289729644193e-06
30.810000000000002,0.0001869183767988839,8.513536166497498e-09,7.725233181452989e-06
31.010000000000005,0.00017235331710459482,7.541447143993488e-09,7.648570685923223e-06
31.210000000000008,0.00015860009697522316,6.604902083216807e-09,7.57977636771156e-06
31.409999999999997,0.00014556377902841857,5.6990148888214374e-09,7.5184163005554225e-06
31.61,0.0001331607825119571,4.818582285349519e-09,7.464088777812421e-06
31.810000000000002,0.0001213170130216834,3.96022116065326e-09,7.416469384266425e-06
32.010000000000005,0.00010996631418366003,3.118213656348612e-09,7.375255381523766e-06
32.21000000000001,9.904918799643818e-05,2.290020881800422e-09,7.340209913719251e-06
32.41,8.8511711372789e-05,1.4720440023480023e-09,7.31111544641866e-06
32.61,7.830462080691545e-05,6.59966966358733e-10,7.287804869917625e-06
32.81,6.83825295793721e-05,1.487787339206182e-10,7.2701338307995264e-06
33.010000000000005,5.870324423620026e-05,9.566937178355071e-10,7.25799949720553e-06
33.21000000000001,4.922716479069984e-05,1.7659805637638781e-09,7.251321529538208e-06
33.41,3.991674248224316e-05,2.5840980659537357e-09,7.2500497387554406e-06
33.61,3.073600503958283e-05,3.410129061725906e-09,7.254165354371128e-06
33.81,2.1650089009849968e-05,4.248796932468327e-09,7.2636773287943834e-06
34.010000000000005,1.2624816858020845e-05,5.102760507835708e-09,7.278619379066022e-06
34.21000000000001,3.626276564723704e-06,5.974162661987009e-09,7.299061051111212e-06
34.41,5.379599488206235e-06,6.868126866306808e-09,7.325090634649697e-06
34.61,1.4427456968829392e-05,7.787998042467392e-09,7.356838758812477e-06
34.81,2.3552969712620502e-05,8.73728111466716e-09,7.394457199467533e-06
35.010000000000005,3.279332006540826e-05,9.718523494145659e-09,7.438146351445987e-06
35.21000000000001,4.218773729984047e-05,1.074285463936837e-08,7.488121552553648e-06
35.41,5.177806978536624e-05,1.1809200119068728e-08,7.544665827204707e-06
35.61,6.160948292856648e-05,1.2925597356381398e-08,7.608083428694818e-06
35.81,7.173123190959237e-05,1.4097092468913337e-08,7.67874502109954e-06
36.010000000000005,8.219759332990986e-05,1.5333815469743036e-08,7.757059187680506e-06
36.21000000000001,9.30689565093484e-05,1.6641768047501436e-08,7.843511079133654e-06
36.41,0.00010441315882171655,1.8030717431379196e-08,7.938645039597385e-06
36.61,0.00011630710185971342,1.951176291087911e-08,8.043087605347875e-06
36.81,0.00012883874588216472,2.1097137490332207e-08,8.157555727978152e-06
37.010000000000005,0.00014210959440697982,2.2801318773471778e-08,8.28286407855249e-06
37.21000000000001,0.0001562378194211217,2.4641885953896695e-08,8.419954203641142e-06
37.41,0.00017136223257384955,2.663815890428994e-08,8.569891888897714e-06
37.61,0.00018764739386127407,2.8813547555333892e-08,8.733918810588864e-06
37.81,0.00020529025612916097,3.119945109357025e-08,8.913435540819897e-06
38.00999999999999,0.00022452890053203936,3.382801423152323e-08,9.110086425340745e-06
38.21000000000001,0.0002456542118072673,3.674321781168077e-08,9.325731248718427e-06
38.41,0.0002690256624730221,3.9997343774847493e-08,9.562546192029775e-06
38.610000000000014,0.0002950930278294042,4.3657948607467766e-08,9.822998532786246e-06
38.81,0.00032442675547206425,4.780778261394062e-08,1.0109951732856229e-05
39.00999999999999,0.00035776128583193343,5.255641505991239e-08,1.0426617521793433e-05
39.21000000000001,0.00039605814822072684,5.8044509134238265e-08,1.0776616077996284e-05
39.41,0.00044060010754301126,6.446101602710453e-08,1.1163809912679946e-05
39.610000000000014,0.0004931354397643175,7.206389385319985e-08,1.159209998497891e-05
39.81,0.0005561058409224263,8.121331556441878e-08,1.2064686051931351e-05
40.00999999999999,0.000633019029482444,9.242658402257305e-08,1.2582602758213648e-05
40.21000000000001,0.0007290820465746308,1.0646813602116346e-07,1.3141169629283044e-05
40.41,0.0008523255797675355,1.2451790305589033e-07,1.3721918829622974e-05
40.610000000000014,0.001015696140989208,1.4847327400301223e-07,1.4272890057476343e-05
40.81,0.0012411274301236043,1.8154023734105528e-07,1.4657801437307286e-05
41.00999999999999,0.001567607702042972,2.2939833508665517e-07,1.4514323858225695e-05
41.21000000000001,0.0020650403407760994,3.021442099460688e-07,1.2826828137529415e-05
41.41,0.002823418485731802,4.1235898173876533e-07,6.704570325650882e-06
41.610000000000014,0.0033935653555532894,4.923711152624759e-07,7.532234244137691e-06
41.81,0.0004969258544733831,7.67156940567116e-08,2.385125089432448e-06
42.00999999999999,0.0035642805253328787,5.187885267402388e-07,5.855577667344921e-06
42.21000000000001,0.0028470698871648796,4.120846416337377e-07,1.734523314632737e-05
42.41,0.0021056987958560707,3.0418322582717777e-07,2.036542672680944e-05
42.610000000000014,0.0016191716761816653,2.336794293419042e-07,2.0257847114619722e-05
42.81,0.001296153517465504,1.8690929383703825e-07,1.9295019790431593e-05
43.00999999999999,0.001071001842979139,1.5427970775043874e-07,1.8167074352041858e-05
43.21000000000001,0.0009068041879787966,1.3043349469751364e-07,1.708268494676627e-05
