period,dK_RK4,dPx_RK4,dK_Boris,dPx_Boris,dK_SP-PINN (frozen),dPx_SP-PINN (frozen),dK_SP-PINN (time-coord),dPx_SP-PINN (time-coord)
40,2.985484170991981e-07,1.4786430879709656e-07,8.301920684239406e-08,0.01614911023742427,1.2742343624694286e-08,3.1890617702146073e-08,3.8824859702746295e-06,7.4437515933389875e-06
43,2.83088454011704e-07,1.6879233921685e-07,0.0004776798770125268,0.006071914520219046,0.02150004233356473,1.6043281825250943e-06,1.3841333390551824e-05,5.568449627180172e-06
46,3.1291040336611786e-07,1.540046139503204e-07,0.0004974738206966478,0.00031262819883770554,0.00026078388992623047,1.6616129889790443e-06,6.735657036571752e-06,5.818350484076973e-06
49,3.4279830085637286e-07,1.392190802640414e-07,0.0004843917309687029,0.006322933385243035,0.021370810542926222,1.660417256355018e-06,1.3479467404486911e-05,2.4832721803313973e-06
52,3.8811290736795456e-07,1.9222410641006604e-07,4.888683349246747e-07,0.020762057295722558,3.599823805711111e-08,6.156087684061617e-08,5.196498688797568e-06,7.030272735963905e-06
55,3.7265297514466056e-07,1.244325051885653e-07,0.0004764804450001492,0.006200967350861397,0.0214979716888708,1.7165889483194974e-06,1.189767279985432e-05,8.765133745480824e-07
58,4.024749209463607e-07,1.0964596075524469e-07,0.0004974737547183139,0.0002518758302401114,0.00025916261352154635,1.6036490713133844e-06,4.997244468896156e-06,1.381247503928762e-06
61,4.3236281399572363e-07,9.485995455804641e-08,0.00048517955602989105,0.006209675642848689,0.021372967628359163,1.6724132481105158e-06,1.1748433919045453e-05,2.2231476823897367e-06
64,4.776773812054103e-07,2.3658315795316298e-07,1.8428718362439866e-06,0.02512037189344274,4.26650517137972e-08,7.578547389641699e-08,7.70507292546796e-06,6.039992383577442e-06
67,4.622174776258703e-07,8.00736805750546e-08,0.00047521577449582963,0.006332718533845316,0.02149589834453902,1.6675861391757252e-06,8.548863530855044e-06,5.622040096131542e-06
70,4.920394172103215e-07,6.528595974941709e-08,0.0004974736246756706,0.00019106968237303512,0.0002575638563664384,1.6128306425944317e-06,1.1704017657265808e-06,6.696406311679226e-06
73,5.219273040424355e-07,5.049974660664702e-08,0.0004859257915281745,0.00609844573208429,0.021375152037972356,1.714666699959011e-06,1.0836575387251912e-05,2.9958444140998353e-06
76,5.672418342816954e-07,2.8094319004523527e-07,5.202028917294932e-06,0.029098212036871463,4.121046881522261e-08,6.442074163004463e-08,3.8034330023251073e-06,1.088658604198045e-05
79,5.517819614553332e-07,3.571322837458979e-08,0.00047388239287560197,0.0064672802531595686,0.0214937823920911,1.6568987564191673e-06,1.5240677480932163e-05,7.212845722470718e-06
82,5.816038992634276e-07,2.0925859267606484e-08,0.0004974733984450808,0.00013019803459557444,0.0002559742239354179,1.6555828319386734e-06,6.307798896543204e-06,5.220649911485964e-06
85,6.114917816546495e-07,6.1404192841507665e-09,0.00048663246736069254,0.005989169584387444,0.021377349448287397,1.6086955627603317e-06,1.2230782966859977e-05,5.805138600933901e-07
88,6.568062708156575e-07,3.253026827909622e-07,1.1868186238550571e-05,0.03255744769692148,1.746430089433204e-08,3.508389090356445e-08,3.9763989878593975e-06,5.3623244755662824e-06
91,6.413464275212277e-07,8.646342752882674e-09,0.0004724766229591282,0.006604770773466662,0.021491702299546667,1.689262922432988e-06,1.1074317940007461e-05,1.471648051198926e-06
94,6.711683617766084e-07,2.343371230395519e-08,0.0004974730372824254,6.924912657391147e-05,0.0002543537406491936,1.5961243780004963e-06,5.030053721100103e-06,7.979801814883558e-07
97,7.01056241503295e-07,3.8219582387810647e-08,0.0004873015107182965,0.0058817763870009365,0.021379454616195837,1.7492077757363944e-06,1.1250737932400057e-05,1.0724389483129926e-06
100,7.463706929167202e-07,3.6966288563533567e-07,2.2834288221251775e-05,0.03537292579169504,1.1459971205329822e-07,3.6792238145011424e-09,6.12769223207188e-06,4.828397660361361e-06
103,7.309108758235539e-07,5.3006445233094723e-08,0.00047099456880239643,0.006745314859209817,0.021489627643613396,1.6827410280750854e-06,8.56267857862747e-06,5.747577444648044e-06
106,7.607328065262209e-07,6.779384742472416e-08,0.0004974724957591548,8.211156425019794e-06,0.0002527553347091427,1.6210072615319149e-06,1.924542194053913e-06,4.623512102064353e-06
109,7.906206827001938e-07,8.257955386170579e-08,0.0004879347521020705,0.00577619840002308,0.021381732005147036,1.6249950034463723e-06,1.2612773778286623e-05,4.34893356437982e-07
