config,gamma0,dt,omega,larmor_floor
g5_Tc100,5.0,0.3141592653589793,1.0,8.530021818208035e-06
g5_Tc100,5.0,0.3141592653589793,2.0,5.762803461675481e-05
g5_Tc100,5.0,0.3141592653589793,3.0,0.00014485776109319026
g5_Tc100,5.0,0.3141592653589793,4.0,0.00025893962340754707
g5_Tc100,5.0,0.3141592653589793,5.0,1.2319926396412446
g5_Tc100,5.0,0.3141592653589793,6.0,0.0005344903145474337
g5_Tc100,5.0,0.3141592653589793,7.0,0.0007487597790027795
g5_Tc100,5.0,0.3141592653589793,8.0,0.0010675440042730848
g5_Tc100,5.0,0.3141592653589793,9.0,0.0016665505344691056
g5_Tc100,5.0,0.3141592653589793,10.0,1.0090537080980428
g5_Tc100,5.0,0.3141592653589793,11.0,0.0001539028584838581
g5_Tc100,5.0,0.3141592653589793,12.0,0.0006228167089152849
g5_Tc100,5.0,0.3141592653589793,13.0,0.0008053078274796604
g5_Tc100,5.0,0.3141592653589793,14.0,0.0008676392041174578
g5_Tc100,5.0,0.3141592653589793,15.0,2.9753351958221822e-05
g5_Tc100,5.0,0.3141592653589793,16.0,0.0007669988003847427
g5_Tc100,5.0,0.3141592653589793,17.0,0.0006468898743535684
g5_Tc100,5.0,0.3141592653589793,18.0,0.0004317493933764638
g5_Tc100,5.0,0.3141592653589793,19.0,0.00019243766273253704
g5_Tc100,5.0,0.3141592653589793,20.0,1.1730421911571929
g5_Tc100,5.0,0.3141592653589793,21.0,0.0017100192611649162
g5_Tc100,5.0,0.3141592653589793,22.0,0.0009774831261453822
g5_Tc100,5.0,0.3141592653589793,23.0,0.0006446681978757984
g5_Tc100,5.0,0.3141592653589793,24.0,0.00044384112030381405
g5_Tc100,5.0,0.3141592653589793,25.0,0.0004360059781434051
g5_Tc100,5.0,0.3141592653589793,26.0,0.00021295975774668802
g5_Tc100,5.0,0.3141592653589793,27.0,0.00016995636396252177
g5_Tc100,5.0,0.3141592653589793,28.0,0.00019041396159684532
g5_Tc100,5.0,0.3141592653589793,29.0,0.0003769253871853139
g5_Tc100,5.0,0.3141592653589793,30.0,0.009246445714345184
g5_Tc100,5.0,0.3141592653589793,31.0,0.0003147795233835775
g5_Tc100,5.0,0.3141592653589793,32.0,1.6943327183157873e-05
g5_Tc100,5.0,0.3141592653589793,33.0,0.0001685906177488133
g5_Tc100,5.0,0.3141592653589793,34.0,0.0003440705284763877
g5_Tc100,5.0,0.3141592653589793,35.0,1.5426577989851427
g5_Tc100,5.0,0.3141592653589793,36.0,0.00065093677538093
g5_Tc100,5.0,0.3141592653589793,37.0,0.0008670156633647268
g5_Tc100,5.0,0.3141592653589793,38.0,0.0011126091069752306
g5_Tc100,5.0,0.3141592653589793,39.0,0.0015871184096245777
g5_Tc100,5.0,0.3141592653589793,40.0,0.019952018635634148
g5_Tc100,5.0,0.3141592653589793,41.0,0.00047900679153455386
g5_Tc100,5.0,0.3141592653589793,42.0,0.0008101556993408384
g5_Tc100,5.0,0.3141592653589793,43.0,0.000898099076359365
g5_Tc100,5.0,0.3141592653589793,44.0,0.0009028195625196797
g5_Tc100,5.0,0.3141592653589793,45.0,0.00026575990206891784
g5_Tc100,5.0,0.3141592653589793,46.0,0.0006806352528511365
g5_Tc100,5.0,0.3141592653589793,47.0,0.0005250305767849167
g5_Tc100,5.0,0.3141592653589793,48.0,0.0002705494347109996
g5_Tc100,5.0,0.3141592653589793,49.0,0.00041145436954396743
g5_Tc100,5.0,0.3141592653589793,50.0,1.4210387824139936
g5_Tc100,5.0,0.3141592653589793,51.0,0.0015848525475495635
g5_Tc100,5.0,0.3141592653589793,52.0,0.0008322778381519818
g5_Tc100,5.0,0.3141592653589793,53.0,0.0005356479081478557
g5_Tc100,5.0,0.3141592653589793,54.0,0.0003527429478974991
g5_Tc100,5.0,0.3141592653589793,55.0,5.4017986723737976e-05
g5_Tc100,5.0,0.3141592653589793,56.0,0.00020261578232955366
g5_Tc100,5.0,0.3141592653589793,57.0,0.00023362635297115305
g5_Tc100,5.0,0.3141592653589793,58.0,0.00033907454623276575
g5_Tc100,5.0,0.3141592653589793,59.0,0.0007357148181553292
g5_Tc100,5.0,0.3141592653589793,60.0,0.02680252623468822
g5_Tc50,5.0,0.6283185307179586,1.0,0.0001998892469436489
g5_Tc50,5.0,0.6283185307179586,2.0,0.0011136296202980307
g5_Tc50,5.0,0.6283185307179586,3.0,0.002108125153477807
g5_Tc50,5.0,0.6283185307179586,4.0,0.004333051735453773
g5_Tc50,5.0,0.6283185307179586,5.0,0.9418314649901425
g5_Tc50,5.0,0.6283185307179586,6.0,0.0025765998442409317
g5_Tc50,5.0,0.6283185307179586,7.0,0.0035702313140423417
g5_Tc50,5.0,0.6283185307179586,8.0,0.0029066611546889718
g5_Tc50,5.0,0.6283185307179586,9.0,0.00170512915090433
g5_Tc50,5.0,0.6283185307179586,10.0,1.4605218578296193
