period,drL_Boris,drL_RK4,drL_SPPINN,dgamma_Boris,dgamma_RK4,dgamma_SPPINN
661,6.88934910791996e-15,1.8472839600347727e-05,2.9284383923400686e-05,6.394884621840902e-15,1.7733919464468784e-05,2.811302503147317e-05
671,7.795842411593639e-15,1.8752320366422622e-05,3.7242029451987637e-06,7.460698725481052e-15,1.800222080010627e-05,3.5752350935780443e-06
681,7.251946429389432e-15,1.9031801508329638e-05,1.2676558757312798e-05,6.7501559897209515e-15,1.827052249350203e-05,1.2169499492387103e-05
691,6.526751786450488e-15,1.9311283032232934e-05,2.749170700300532e-05,6.217248937900877e-15,1.8538824550695664e-05,2.6392053233692537e-05
701,5.0763625005726024e-15,1.9590764933056147e-05,1.8718396698158714e-08,4.7961634663806766e-15,1.8807126966713383e-05,1.7969660959238355e-08
711,5.9828558042462816e-15,1.9870247209167587e-05,1.4923827300005119e-05,5.684341886080802e-15,1.90754297401341e-05,1.4326878484105521e-05
721,6.345453125715753e-15,2.0149729865462315e-05,2.093886136190167e-05,6.0396132539608514e-15,1.9343732875398702e-05,2.010131532514947e-05
731,7.433245090124167e-15,2.042921289777047e-05,5.6859033484218215e-06,7.105427357601002e-15,1.9612036368599207e-05,5.458466593744049e-06
741,9.246231697471526e-15,2.0708696309355422e-05,1.4148370173648582e-05,8.704148513061228e-15,1.9880340222933057e-05,1.358243920979163e-05
751,1.033402366187994e-14,2.098818010166756e-05,1.1029976046993786e-05,9.769962616701378e-15,2.0148644439998975e-05,1.0588779340814369e-05
761,7.795842411593639e-15,2.1267664272893898e-05,1.1826989756164112e-05,7.460698725481052e-15,2.0416949017487695e-05,1.1353907480327052e-05
771,7.070647768654696e-15,2.1547148821040156e-05,1.148475369440756e-05,6.7501559897209515e-15,2.0685253953978133e-05,1.102536607895388e-05
781,6.345453125715753e-15,2.1826633747194118e-05,1.7352054389320218e-08,6.0396132539608514e-15,2.0953559250358467e-05,1.6657972246036933e-08
791,8.702335715267318e-15,2.2106119052080983e-05,1.6541944216227645e-05,8.348877145181177e-15,2.122186490733924e-05,1.5880261193679245e-05
801,9.608829018940997e-15,2.238560473624465e-05,8.490719949286155e-06,9.059419880941277e-15,2.1490170925098083e-05,8.151092535335636e-06
811,9.06493303673679e-15,2.2665090800047708e-05,9.77142702939698e-06,8.704148513061228e-15,2.175847730470082e-05,9.38056811499166e-06
821,8.339738393797847e-15,2.2944577238776397e-05,1.8061569612844175e-05,7.993605777301127e-15,2.202678404117364e-05,1.733910056476162e-05
831,7.977141072328375e-15,2.3224064056600586e-05,6.6046139337256284e-06,7.460698725481052e-15,2.2295091138602174e-05,6.340430213924719e-06
841,8.521037054532582e-15,2.3503551253520274e-05,1.6236765526211525e-05,8.171241461241152e-15,2.2563398596808782e-05,1.5587289843388417e-05
851,1.0152725001145205e-14,2.3783038827903775e-05,1.531956177372434e-05,9.769962616701378e-15,2.2831706414550013e-05,1.4706774796735545e-05
861,1.250960759069677e-14,2.406252677920719e-05,6.660245308114966e-06,1.1901590823981678e-14,2.3100014591115326e-05,6.393836347307058e-06
871,1.4866490180248335e-14,2.434201510924351e-05,1.8365809251399234e-05,1.4210854715202004e-14,2.3368323127925805e-05,1.763117040507467e-05
881,1.3234802233635712e-14,2.462150381837533e-05,8.338236437552597e-06,1.2612133559741778e-14,2.3636632026047267e-05,8.004705645348053e-06
891,1.2328308929962035e-14,2.490099290460836e-05,8.610063840026097e-06,1.1723955140041652e-14,2.3904941282992807e-05,8.26566270983875e-06
901,1.2147010269227299e-14,2.5180482370662087e-05,1.6285891515768073e-05,1.1723955140041652e-14,2.417325090178224e-05,1.563445076282477e-05
911,1.377869821583992e-14,2.5459972213091833e-05,1.6964389034378978e-06,1.3145040611561854e-14,2.444156087868521e-05,1.6285814025351898e-06
921,1.287220491216624e-14,2.573946243443578e-05,1.1542366314702703e-05,1.2256862191861729e-14,2.4709871216543888e-05,1.108067421995429e-05
931,1.432259419804413e-14,2.601895303705081e-05,1.1182181923034658e-05,1.3677947663381929e-14,2.497818191731227e-05,1.0734892245345407e-05
941,1.3234802233635712e-14,2.6298444019667837e-05,1.2702403413330806e-05,1.2612133559741778e-14,2.5246492979746904e-05,1.2194310374624705e-05
951,1.1784412947757827e-14,2.657793537829828e-05,1.3987119480745176e-05,1.1191048088221578e-14,2.5514804400295078e-05,1.3427638457663705e-05
961,1.1059218304818884e-14,2.6857427115842928e-05,4.880984935696467e-06,1.0480505352461478e-14,2.5783116181621324e-05,4.685745080834636e-06
971,1.0152725001145205e-14,2.7136919229400998e-05,2.224005837337351e-05,9.592326932761353e-15,2.6051428320883473e-05,2.135046553490838e-05
981,1.1784412947757827e-14,2.741641172169197e-05,1.4415486058865074e-05,1.1368683772161604e-14,2.6319740820568427e-05,1.3838870606086574e-05
991,1.1784412947757827e-14,2.7695904594891427e-05,7.333855061244921e-07,1.1191048088221578e-14,2.6588053683163082e-05,7.040500960897589e-07
