period,dI1_Boris,dI1_RK4,dI1_SPPINN
1,6.51966163608977e-05,1.915688201716999e-14,0.013638333853395591
2,0.00013039295196854244,1.9329466539847197e-14,0.004011624360250358
3,0.00019558872603343857,3.2791059308669354e-14,0.006778535669872838
4,0.0002607836576684075,3.3826566444732597e-14,0.011665148199864946
5,0.0003259774661053541,3.0374875991188455e-14,0.0005357126690367747
6,0.0003911698706925051,3.589758071685908e-14,0.014594657703435779
7,0.0004563605904757191,4.8323666349617996e-14,0.0017020635369403188
8,0.0005215493448884797,4.4181637805365027e-14,0.009579170144734691
9,0.0005867358530839931,5.522704725670628e-14,0.008977402327302538
10,0.0006519198343107323,5.79883996195416e-14,0.0020608696330564045
11,0.0007171010078924169,6.489178052662988e-14,0.014387651005023434
12,0.0007822790930933977,6.351110434521222e-14,0.0002034654022265002
13,0.00084745380908552,6.765313288946519e-14,0.01198472791615009
14,0.000912624875211833,7.04144852523005e-14,0.005986832071426139
15,0.0009777920109203175,6.765313288946519e-14,0.004342072393382814
16,0.0010429549355029375,6.765313288946519e-14,0.013049159172264842
17,0.001108113368273748,7.869854234080645e-14,0.00025468752448200283
18,0.0011732670286047928,7.317583761513582e-14,0.013626901916266511
19,0.0012384156359178191,6.213042816379457e-14,0.003151477483989381
20,0.001303558909587632,6.213042816379457e-14,0.007030214374084933
21,0.0013686965691022518,6.765313288946519e-14,0.010784413799373284
22,0.0014338283339193237,5.384637107528862e-14,0.00039783884607899476
23,0.0014989539235406746,5.936907580095925e-14,0.014254312311763226
24,0.0015640730573797683,5.384637107528862e-14,0.0009055321696936268
25,0.0016291854550571701,5.6607723438123935e-14,0.009713886580132428
26,0.0016942908361713542,5.384637107528862e-14,0.007940479886181885
27,0.001759388920293181,5.6607723438123935e-14,0.0020612799264433817
28,0.0018244794271122502,6.765313288946519e-14,0.013771033959843245
29,0.0018895620762739785,7.317583761513582e-14,0.0004071021238413824
30,0.001954636587467965,6.765313288946519e-14,0.011982319651141674
31,0.0020197026803810475,5.6607723438123935e-14,0.004952995525376618
32,0.002084760074868506,5.108501871245331e-14,0.004481133061713819
33,0.00214980849068345,4.556231398678268e-14,0.01225127263604082
34,0.0022148476476563086,5.108501871245331e-14,0.0005854243627089065
35,0.0022798772657196785,5.108501871245331e-14,0.013488254212196375
36,0.002344897064839295,6.213042816379457e-14,0.002279428269325677
37,0.0024099067649588,6.213042816379457e-14,0.007287083596596633
38,0.00247490608606602,6.213042816379457e-14,0.009927932411902476
39,0.0025398947481653474,4.003960926111205e-14,0.0003979199698204685
40,0.002604872471459993,4.556231398678268e-14,0.014001126825930353
41,0.0026698389761310756,6.213042816379457e-14,0.00032907003271977155
42,0.0027347939822768754,5.6607723438123935e-14,0.010049638160043646
43,0.0027997372102110565,6.213042816379457e-14,0.007156865326654348
